task,checkpoint_role,severity,n,h1_acpc_q90_mean,h5_acpc_q90_mean,max_cost_drift_mean,top1_stability_rate,top1_certificate_coverage,elite_certificate_coverage,first_action_rms_mean,first_action_rms_median,first_action_stability_rate,positive_clean_regret_mean
Cube,base,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Cube,base,0.02,100,3.3611655128002167,3.078028456568718,44.92773178100586,0.61,0.01,0.0,0.779199735224247,0.7765535712242126,0.0,13.082066218852997
Cube,base,0.05,100,13.559184284210206,15.074979610443116,223.27140839576722,0.06,0.0,0.0,1.0379587984085084,1.024103045463562,0.0,158.43481521606446
Cube,base,0.08,100,17.919089984893798,18.71317053794861,276.3520795631409,0.04,0.0,0.0,1.0865011936426163,1.0646716952323914,0.0,248.87046653747558
Cube,endpoint,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Cube,endpoint,0.02,100,0.2007752188295126,0.17932850051671267,2.5486002349853516,0.97,0.77,0.28,0.34514310307679863,0.3105706125497818,0.3,0.7274711012840271
Cube,endpoint,0.05,100,0.5263777716457844,0.44996434487402437,6.2497711181640625,0.95,0.44,0.08,0.4814476992374312,0.48692306876182556,0.11,2.0857185837626457
Cube,endpoint,0.08,100,0.8802034479379653,0.8337383250892162,11.882956314086915,0.89,0.25,0.01,0.5478566735415745,0.5519751012325287,0.05,1.203668066561222
PushT,base,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
PushT,base,0.02,100,1.3904980438947678,1.636158713698387,17.978522424697875,0.84,0.03,0.0,0.7928658479452133,0.7483518719673157,0.0,14.545054056644439
PushT,base,0.05,100,5.305943801403045,6.276595177650452,62.331723279953,0.4,0.0,0.0,1.0779006630182266,1.0106148719787598,0.0,79.23470089912415
PushT,base,0.08,100,9.490476574897766,10.46904640674591,102.35427334785462,0.21,0.0,0.0,1.2552079397439957,1.211246371269226,0.0,134.28914940595627
PushT,endpoint,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
PushT,endpoint,0.02,100,0.16592655412852764,0.16518565125763415,1.76094584941864,1.0,0.53,0.08,0.36013070034641503,0.33128127455711365,0.26,1.8271989989280701
PushT,endpoint,0.05,100,0.4255849254131317,0.397305708527565,3.8909937715530396,0.98,0.3,0.01,0.5420259160083296,0.4771399050951004,0.06,2.6055192911624907
PushT,endpoint,0.08,100,0.6867062360048294,0.6846354125440121,6.386751551628112,0.93,0.19,0.02,0.5694826419926794,0.5343687832355499,0.08,4.26502096414566
Reacher,base,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Reacher,base,0.02,100,6.473973779678345,4.134313181638718,67.41232154846192,0.63,0.06,0.0,0.7820017486810684,0.7401615977287292,0.0,10.249538117647171
Reacher,base,0.05,100,23.714849910736085,13.77342794418335,224.68497386932373,0.22,0.0,0.0,1.0190927642583847,0.9781056046485901,0.0,138.37842336952687
Reacher,base,0.08,100,30.491390380859375,15.454418458938598,258.81187541007995,0.07,0.0,0.0,1.0673991280794144,1.0293452739715576,0.0,259.8933298301697
Reacher,endpoint,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Reacher,endpoint,0.02,100,0.1530883974581957,0.09988388903439045,1.6481304168701172,1.0,0.92,0.57,0.16612460395040762,1.310275123955762e-07,0.63,0.2468501517176628
Reacher,endpoint,0.05,100,0.38780570864677427,0.2506640374660492,4.255688972473145,0.97,0.81,0.37,0.40510250564156536,0.4078593999147415,0.27,3.157441456913948
Reacher,endpoint,0.08,100,0.6472223368287087,0.4012854941189289,6.645731353759766,0.99,0.7,0.24,0.5103887881435101,0.48418469727039337,0.13,0.63742665797472
TwoRoom,base,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
TwoRoom,base,0.02,100,5.000394816398621,4.178789394497872,49.44583118438721,0.64,0.02,0.0,0.8303680948913097,0.7823205590248108,0.0,24.021951730251313
TwoRoom,base,0.05,100,13.316659107208253,13.265497436523438,148.92365510940553,0.28,0.0,0.0,1.0108157676458358,0.9925123453140259,0.0,104.67510378360748
TwoRoom,base,0.08,100,19.56792550086975,18.238077292442323,208.71447678089143,0.16,0.0,0.0,1.0522010147571563,1.0062523484230042,0.0,192.3775875234604
TwoRoom,endpoint,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
TwoRoom,endpoint,0.02,100,0.2458270300924778,0.1756994779407978,2.846196174621582,0.98,0.66,0.24,0.31301550884615,0.19116900116205215,0.42,3.5873730856180193
TwoRoom,endpoint,0.05,100,0.6320638865232467,0.5049698023498058,6.572478103637695,0.97,0.42,0.08,0.5466609032468912,0.5545060634613037,0.15,6.004750746488571
TwoRoom,endpoint,0.08,100,1.0475162234902382,0.7400632691383362,10.041807670593261,0.91,0.3,0.04,0.6429057449037806,0.6529824137687683,0.04,5.310476100444793
