training_seed,task,checkpoint_role,severity,n,h1_acpc_q90_mean,h5_acpc_q90_mean,max_cost_drift_mean,top1_stability_rate,top1_certificate_coverage,elite_certificate_coverage,first_action_rms_mean,first_action_rms_median,first_action_stability_rate,positive_clean_regret_mean
3072,Cube,base,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3072,Cube,base,0.02,100,2.640596944093704,2.451849567890167,34.676237449645996,0.75,0.03,0.0,0.7147694444656372,0.6887439787387848,0.0,8.52735405087471
3072,Cube,base,0.05,100,12.308998918533325,13.170936074256897,194.84994901657103,0.11,0.0,0.0,0.9704051637649536,0.9675948023796082,0.0,122.40414766550064
3072,Cube,base,0.08,100,17.615285320281984,18.592754764556886,270.65415232658387,0.02,0.0,0.0,1.0908326262235641,1.0694524645805359,0.0,248.39328645706178
3072,Cube,endpoint,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3072,Cube,endpoint,0.02,100,0.1877934628725052,0.1548212729021907,2.202752265930176,0.98,0.75,0.29,0.3284954230800406,0.31389109790325165,0.34,0.5263138377666473
3072,Cube,endpoint,0.05,100,0.49687943786382677,0.4423969656229019,6.181042633056641,0.98,0.48,0.07,0.4968758863395321,0.5009050369262695,0.09,1.3444858711957932
3072,Cube,endpoint,0.08,100,0.8317244696617127,0.6449234926700592,9.141671562194825,0.93,0.31,0.05,0.5572402913115977,0.5759963989257812,0.03,1.4197656732797623
3072,PushT,base,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3072,PushT,base,0.02,100,1.8667145377397538,2.148894141316414,23.210802364349366,0.72,0.02,0.0,0.8323347729444504,0.7920275628566742,0.0,16.490866590738296
3072,PushT,base,0.05,100,7.952834868431092,8.799187054634094,90.97071062088013,0.2,0.0,0.0,1.0938023635745049,1.0734537243843079,0.0,119.7503670835495
3072,PushT,base,0.08,100,13.483868083953858,13.358503518104554,119.60116088867187,0.13,0.0,0.0,1.271761084496975,1.1798461079597473,0.0,177.40992378234864
3072,PushT,endpoint,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3072,PushT,endpoint,0.02,100,0.18573136791586875,0.18067040666937828,1.8559711122512816,0.99,0.47,0.06,0.32866792293620917,0.28104181587696075,0.25,1.3768438148498534
3072,PushT,endpoint,0.05,100,0.4732246072590351,0.4593339794874191,4.358848400115967,0.98,0.22,0.0,0.5201057454139876,0.4902089238166809,0.09,4.368180592060089
3072,PushT,endpoint,0.08,100,0.7714344170689583,0.8341675832867622,8.010432176589966,0.93,0.1,0.0,0.654997269898561,0.5999466478824615,0.01,4.592091344594955
3072,Reacher,base,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3072,Reacher,base,0.02,100,7.554407796859741,5.1107286047935485,83.89014175415039,0.58,0.03,0.0,0.8065491026639938,0.7609920501708984,0.0,21.072431003451346
3072,Reacher,base,0.05,100,24.975999374389648,14.715883431434632,239.34355659246444,0.11,0.0,0.0,1.0636023512482644,0.9690837562084198,0.0,186.39917891979218
3072,Reacher,base,0.08,100,31.010803833007813,15.70844367980957,252.7397465133667,0.07,0.0,0.0,1.0801381811499595,1.0248786211013794,0.0,283.2725779390335
3072,Reacher,endpoint,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3072,Reacher,endpoint,0.02,100,0.15014496818184853,0.10643932735547423,1.7728000640869142,0.99,0.88,0.63,0.2116614399369638,0.06395151279866695,0.53,0.25152425706386566
3072,Reacher,endpoint,0.05,100,0.3744934405386448,0.272693577632308,4.613617095947266,0.98,0.77,0.37,0.4439480920186854,0.41157878935337067,0.16,0.41018793046474455
3072,Reacher,endpoint,0.08,100,0.6387092494964599,0.41863351486623285,7.101050262451172,0.96,0.63,0.3,0.5104423978352639,0.45722566545009613,0.12,0.3868668332695961
3072,TwoRoom,base,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3072,TwoRoom,base,0.02,100,5.981488742828369,6.158028346300125,66.54070785522461,0.65,0.02,0.0,0.8287682989239693,0.77818363904953,0.0,36.433161492347715
3072,TwoRoom,base,0.05,100,14.529047355651855,16.170787291526793,206.92474345207214,0.27,0.0,0.0,0.9834353521466255,0.9479817748069763,0.0,172.52424444198607
3072,TwoRoom,base,0.08,100,19.943616771697997,18.91508264541626,231.5571893262863,0.1,0.0,0.0,1.07760872900486,1.0636160373687744,0.0,210.67404051303865
3072,TwoRoom,endpoint,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3072,TwoRoom,endpoint,0.02,100,0.2628114087879658,0.1904061481356621,2.450732421875,0.98,0.65,0.26,0.3356791301453488,0.2498098909854889,0.39,2.055147058367729
3072,TwoRoom,endpoint,0.05,100,0.6544015344977379,0.5000694435834885,6.397526016235352,0.94,0.4,0.1,0.4919529693172038,0.4843484163284302,0.13,5.633088070750237
3072,TwoRoom,endpoint,0.08,100,1.0683488923311233,0.872005639821291,10.689772109985352,0.95,0.25,0.05,0.5816969114010486,0.5782821178436279,0.08,9.751429861783981
3073,Cube,base,0.0,100,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
3073,Cube,base,0.02,100,3.624434609413147,3.3531803452968596,47.270473365783694,0.62,0.0,0.0,0.7837491607666016,0.7445877492427826,0.0,9.902785432338714
3073,Cube,base,0.05,100,14.551701407432557,16.424229249954223,238.05064374923705,0.06,0.0,0.0,1.051390585899353,1.0311874747276306,0.0,183.43824056625365
