model_family,training_family_id,training_seed,task,training_rho,behavior_label,rho_privileged_prediction,split_name,protocol_hash,baseline_scope,external_leaderboard_eligible
LeWM,lewm_seed3073,3073,TwoRoom,0.0,False,False,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,TwoRoom,0.01,True,False,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,TwoRoom,0.02,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,TwoRoom,0.03,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,TwoRoom,0.04,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,TwoRoom,0.05,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,TwoRoom,0.06,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,TwoRoom,0.07,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,TwoRoom,0.08,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,PushT,0.0,False,False,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,PushT,0.01,False,False,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,PushT,0.02,False,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,PushT,0.03,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,PushT,0.04,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,PushT,0.05,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,PushT,0.06,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,PushT,0.07,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,PushT,0.08,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,Reacher,0.0,False,False,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,Reacher,0.01,False,False,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,Reacher,0.02,False,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,Reacher,0.03,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,Reacher,0.04,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
LeWM,lewm_seed3073,3073,Reacher,0.05,True,True,E1,edcb801c3da388e673c9b55d706a558aa01da7a281fc151e52e1cda566045a21,Gaussian-only privileged training metadata,False
