split_name,metric,n,positive_n,threshold,balanced_accuracy,auprc,precision,recall,specificity,false_pass_rate,tp,tn,fp,fn
E1,encoder_q90,72,50,1.1357236504554749,0.9090909090909092,0.9578623487386905,0.9259259259259259,1.0,0.8181818181818182,0.18181818181818182,50,18,4,0
E1,h1_q90,72,50,0.9921059608459473,0.9090909090909092,0.9731389138327758,0.9259259259259259,1.0,0.8181818181818182,0.18181818181818182,50,18,4,0
E1,action_shuffled_h8_q90,72,50,1.1002955734729767,0.9090909090909092,0.9688970509337702,0.9259259259259259,1.0,0.8181818181818182,0.18181818181818182,50,18,4,0
E1,action_zeroed_h8_q90,72,50,0.9392967224121094,0.9318181818181819,0.9772638258488643,0.9433962264150944,1.0,0.8636363636363636,0.13636363636363635,50,19,3,0
E1,time_shuffled_h8_q90,72,50,1.2907272577285767,0.8863636363636364,0.9681558081892929,0.9090909090909091,1.0,0.7727272727272727,0.22727272727272727,50,17,5,0
E1,atr_h8_q90,72,50,1.4987461566925049,0.8863636363636364,0.9642873725169487,0.9090909090909091,1.0,0.7727272727272727,0.22727272727272727,50,17,5,0
E1,clean_score,72,50,82.16666666666667,0.5981818181818181,0.8475213622620986,0.7777777777777778,0.56,0.6363636363636364,0.36363636363636365,28,14,8,22
E1,smpr,72,50,0.944797545671463,0.8763636363636363,0.9617629665243898,0.9074074074074074,0.98,0.7727272727272727,0.22727272727272727,49,17,5,1
E1,atr_smpr_joint,72,50,frozen_joint_gate,0.9445454545454546,0.9654813594276511,0.9607843137254902,0.98,0.9090909090909091,0.09090909090909091,49,20,2,1
E2,encoder_q90,36,17,1.1357236504554749,0.6578947368421053,0.6242516840936921,0.5666666666666667,1.0,0.3157894736842105,0.6842105263157895,17,6,13,0
E2,h1_q90,36,17,0.9921059608459473,0.6578947368421053,0.5862100409627922,0.5666666666666667,1.0,0.3157894736842105,0.6842105263157895,17,6,13,0
E2,action_shuffled_h8_q90,36,17,1.1002955734729767,0.631578947368421,0.5964952858651577,0.5483870967741935,1.0,0.2631578947368421,0.7368421052631579,17,5,14,0
E2,action_zeroed_h8_q90,36,17,0.9392967224121094,0.6578947368421053,0.5713005175757603,0.5666666666666667,1.0,0.3157894736842105,0.6842105263157895,17,6,13,0
E2,time_shuffled_h8_q90,36,17,1.2907272577285767,0.6052631578947368,0.6273750077469541,0.53125,1.0,0.21052631578947367,0.7894736842105263,17,4,15,0
E2,atr_h8_q90,36,17,1.4987461566925049,0.6052631578947368,0.5766166214898465,0.53125,1.0,0.21052631578947367,0.7894736842105263,17,4,15,0
E2,clean_score,36,17,82.16666666666667,0.6594427244582044,0.7462360799647326,0.6923076923076923,0.5294117647058824,0.7894736842105263,0.21052631578947367,9,15,4,8
E2,smpr,36,17,0.944797545671463,0.6842105263157895,0.5409517038066733,0.5862068965517241,1.0,0.3684210526315789,0.631578947368421,17,7,12,0
E2,atr_smpr_joint,36,17,frozen_joint_gate,0.6842105263157895,0.5409517038066733,0.5862068965517241,1.0,0.3684210526315789,0.631578947368421,17,7,12,0
E1+E2,encoder_q90,108,67,1.1357236504554749,0.7926829268292683,0.7923727378248615,0.7976190476190477,1.0,0.5853658536585366,0.4146341463414634,67,24,17,0
E1+E2,h1_q90,108,67,0.9921059608459473,0.7926829268292683,0.8162245939210971,0.7976190476190477,1.0,0.5853658536585366,0.4146341463414634,67,24,17,0
E1+E2,action_shuffled_h8_q90,108,67,1.1002955734729767,0.7804878048780488,0.8379236237435046,0.788235294117647,1.0,0.5609756097560976,0.43902439024390244,67,23,18,0
E1+E2,action_zeroed_h8_q90,108,67,0.9392967224121094,0.8048780487804879,0.8411666602815018,0.8072289156626506,1.0,0.6097560975609756,0.3902439024390244,67,25,16,0
E1+E2,time_shuffled_h8_q90,108,67,1.2907272577285767,0.7560975609756098,0.8310810042482024,0.7701149425287356,1.0,0.5121951219512195,0.4878048780487805,67,21,20,0
E1+E2,atr_h8_q90,108,67,1.4987461566925049,0.7560975609756098,0.8282396308100809,0.7701149425287356,1.0,0.5121951219512195,0.4878048780487805,67,21,20,0
E1+E2,clean_score,108,67,82.16666666666667,0.6297779395704405,0.815920693281031,0.7551020408163265,0.5522388059701493,0.7073170731707317,0.2926829268292683,37,29,12,30
E1+E2,smpr,108,67,0.944797545671463,0.785220240262104,0.808759238496046,0.7951807228915663,0.9850746268656716,0.5853658536585366,0.4146341463414634,66,24,17,1
E1+E2,atr_smpr_joint,108,67,frozen_joint_gate,0.8218056061157626,0.8108654201081155,0.825,0.9850746268656716,0.6585365853658537,0.34146341463414637,66,27,14,1
