task,training_seed,n,coarse_cert_pass_n,coarse_cert_pass_rate,sharp_cert_pass_n,sharp_cert_pass_rate,sharp_cert_pass_lower95_wilson,flip_risk_upper95_from_sharp_coverage,observed_flip_n,observed_flip_rate,flip_when_sharp_cert_fail_rate,sharp_cert_invariant_flip_count
Cube,3072,900,520,0.5777777777777777,676,0.7511111111111111,0.7266759434949338,0.2733240565050662,165,0.18333333333333332,0.7366071428571429,0
Cube,3073,900,415,0.46111111111111114,614,0.6822222222222222,0.656179693194861,0.343820306805139,190,0.2111111111111111,0.6643356643356644,0
Cube,3074,900,415,0.46111111111111114,573,0.6366666666666667,0.6099231416067767,0.39007685839322326,264,0.29333333333333333,0.8073394495412844,0
PushT,3072,900,416,0.4622222222222222,598,0.6644444444444444,0.6380965717551572,0.3619034282448428,184,0.20444444444444446,0.609271523178808,0
PushT,3073,900,457,0.5077777777777778,595,0.6611111111111111,0.6347105951915573,0.36528940480844274,202,0.22444444444444445,0.6622950819672131,0
PushT,3074,900,463,0.5144444444444445,628,0.6977777777777778,0.6720374019729368,0.3279625980270632,182,0.20222222222222222,0.6691176470588235,0
Reacher,3072,900,398,0.44222222222222224,684,0.76,0.7358265685620762,0.2641734314379238,158,0.17555555555555555,0.7314814814814815,0
Reacher,3073,900,324,0.36,618,0.6866666666666666,0.6607070734339647,0.33929292656603527,189,0.21,0.6702127659574468,0
Reacher,3074,900,310,0.34444444444444444,597,0.6633333333333333,0.6369677534869931,0.3630322465130069,202,0.22444444444444445,0.6666666666666666,0
TwoRoom,3072,900,466,0.5177777777777778,652,0.7244444444444444,0.6993022278621267,0.3006977721378733,170,0.18888888888888888,0.6854838709677419,0
TwoRoom,3073,900,500,0.5555555555555556,681,0.7566666666666667,0.732393492299911,0.267606507700089,156,0.17333333333333334,0.7123287671232876,0
TwoRoom,3074,900,473,0.5255555555555556,648,0.72,0.6947507896058194,0.3052492103941806,183,0.20333333333333334,0.7261904761904762,0
