task,training_seed,one_step_mae,best_control_mae,eight_step_mae,best_control,reduction_vs_one_step,reduction_vs_control,win_blocks,block_count,pass
TwoRoom,3072,2.534790925380196,2.0987746238167158,0.7549416240168613,time-shuffled actions,0.7021680895028347,0.6402940956833344,15,16,True
PushT,3072,2.0680162499699843,2.067853671965388,1.7618572017460872,time-shuffled actions,0.14804479811429955,0.14797781601657875,11,16,True
Reacher,3072,1.3577488178616177,1.0974910688467385,0.2881437612904003,time-shuffled actions,0.7877783007432764,0.7374522950850193,16,16,True
Cube,3072,1.1709122182299296,1.0370736743460451,0.4887243305660565,zero actions,0.5826123231467667,0.5287467586386909,14,16,True
TwoRoom,3073,2.3361183717350733,2.01470983238163,0.866255210343637,time-shuffled actions,0.6291903608890096,0.5700347531834802,15,16,True
PushT,3073,1.9694556657427302,2.0077986072107636,1.3145080307147408,zero actions,0.3325526166546088,0.34529886314601194,13,16,True
Reacher,3073,1.3985595397416741,0.7928537325679009,0.24715177351481724,time-shuffled actions,0.8232811929047595,0.6882757016047082,16,16,True
Cube,3073,1.4162042796421659,1.2124338996050346,0.49990017236164985,zero actions,0.6470140787260152,0.5876887205772632,14,16,True
TwoRoom,3074,2.074643962626981,1.9111448269111388,1.006473519109462,batch-permuted actions,0.51486928010769,0.47336617040365236,13,16,True
PushT,3074,1.9086202853211873,1.8325885446328432,1.4389569536943485,zero actions,0.2460747877610463,0.21479540079595894,13,16,True
Reacher,3074,1.4086913769898228,1.1362692225201148,0.26285728459702035,time-shuffled actions,0.8134032131589322,0.7686663693890846,16,16,True
Cube,3074,1.0608194161626143,1.0078346205366262,0.5517539937800248,time-shuffled actions,0.4798794352992445,0.45253518530030173,14,16,True
