task,training_seed,sigma_eval,checkpoint_count,ir_only_pass_count,ir_and_sr_pass_count,natural_sr_veto_count,decisions_differ
TwoRoom,3072,0.08,8,8,7,1,True
TwoRoom,3072,0.16,8,8,7,1,True
TwoRoom,3072,0.32,8,7,6,1,True
TwoRoom,3072,0.64,8,2,1,1,True
TwoRoom,3073,0.08,8,8,6,2,True
TwoRoom,3073,0.16,8,8,6,2,True
TwoRoom,3073,0.32,8,7,5,2,True
TwoRoom,3073,0.64,8,2,0,2,True
TwoRoom,3074,0.08,8,8,8,0,False
TwoRoom,3074,0.16,8,8,8,0,False
TwoRoom,3074,0.32,8,7,6,1,True
TwoRoom,3074,0.64,8,3,1,2,True
PushT,3072,0.08,8,8,8,0,False
PushT,3072,0.16,8,8,8,0,False
PushT,3072,0.32,8,6,3,3,True
PushT,3072,0.64,8,1,0,1,True
PushT,3073,0.08,8,8,8,0,False
PushT,3073,0.16,8,8,8,0,False
PushT,3073,0.32,8,7,5,2,True
PushT,3073,0.64,8,3,0,3,True
PushT,3074,0.08,8,8,8,0,False
PushT,3074,0.16,8,8,8,0,False
PushT,3074,0.32,8,6,6,0,False
PushT,3074,0.64,8,2,0,2,True
Reacher,3072,0.08,8,8,8,0,False
Reacher,3072,0.16,8,8,8,0,False
Reacher,3072,0.32,8,7,7,0,False
Reacher,3072,0.64,8,5,5,0,False
Reacher,3073,0.08,8,8,8,0,False
Reacher,3073,0.16,8,8,8,0,False
Reacher,3073,0.32,8,7,6,1,True
Reacher,3073,0.64,8,5,5,0,False
Reacher,3074,0.08,8,8,8,0,False
Reacher,3074,0.16,8,8,8,0,False
Reacher,3074,0.32,8,7,7,0,False
Reacher,3074,0.64,8,5,5,0,False
Cube,3072,0.08,8,8,8,0,False
Cube,3072,0.16,8,8,8,0,False
Cube,3072,0.32,8,7,7,0,False
Cube,3072,0.64,8,6,6,0,False
Cube,3073,0.08,8,8,8,0,False
Cube,3073,0.16,8,8,8,0,False
Cube,3073,0.32,8,7,7,0,False
Cube,3073,0.64,8,6,6,0,False
Cube,3074,0.08,8,8,8,0,False
Cube,3074,0.16,8,8,8,0,False
Cube,3074,0.32,8,7,7,0,False
Cube,3074,0.64,8,6,6,0,False
