task,horizon,atr_quantile,n_training_seeds,base_atr_median,onset_atr_median,endpoint_atr_median,endpoint_to_base_ratio,base_minus_endpoint
TwoRoom,1,0.8,3,1.6187810897827148,0.9745567440986633,0.07302285730838776,0.04510977906110174,1.545758232474327
TwoRoom,1,0.9,3,2.3208446502685547,1.2163264751434326,0.11948943138122559,0.05148532081516053,2.201355218887329
TwoRoom,1,0.95,3,2.874302864074707,1.4192521572113037,0.14197175204753876,0.04939345600006636,2.7323311120271683
TwoRoom,2,0.8,3,1.4029978513717651,0.6760426163673401,0.06932496279478073,0.04941202349454708,1.3336728885769844
TwoRoom,2,0.9,3,2.0074586868286133,0.8209947943687439,0.08732888847589493,0.04350220955922,1.9201297983527184
TwoRoom,2,0.95,3,2.1783668994903564,1.0724854469299316,0.09284854680299759,0.042623006631582645,2.085518352687359
TwoRoom,4,0.8,3,1.4754709005355835,0.7999744415283203,0.07854471355676651,0.05323365816855855,1.396926186978817
TwoRoom,4,0.9,3,1.903300404548645,1.0453689098358154,0.09769034385681152,0.05132681295256601,1.8056100606918335
TwoRoom,4,0.95,3,2.042114734649658,1.1084650754928589,0.09914185851812363,0.04854862306996293,1.9429728761315346
TwoRoom,8,0.8,3,1.555413007736206,0.6207680106163025,0.0896875187754631,0.0576615460520013,1.465725488960743
TwoRoom,8,0.9,3,1.6870437860488892,0.9004882574081421,0.09659572690725327,0.05725739172039131,1.590448059141636
TwoRoom,8,0.95,3,1.7766878604888916,1.1199634075164795,0.10261891037225723,0.057758547606679526,1.6740689501166344
PushT,1,0.8,3,3.1947827339172363,0.4463360011577606,0.16989243030548096,0.053178085790256485,3.0248903036117554
PushT,1,0.9,3,3.3627076148986816,0.6287347674369812,0.21361622214317322,0.06352506569311393,3.1490913927555084
PushT,1,0.95,3,5.244382858276367,0.6856430172920227,0.2989875078201294,0.05701099936826417,4.945395350456238
PushT,2,0.8,3,2.685710906982422,0.3551430404186249,0.14953091740608215,0.05567647546030569,2.5361799895763397
PushT,2,0.9,3,3.0075159072875977,0.5202054381370544,0.21219205856323242,0.07055392726238414,2.7953238487243652
PushT,2,0.95,3,4.786663055419922,0.6928703784942627,0.3375014364719391,0.07050870983905738,4.449161618947983
PushT,4,0.8,3,2.96992826461792,0.4344409108161926,0.1511191874742508,0.05088311030087867,2.818809077143669
PushT,4,0.9,3,3.515896797180176,0.5208411812782288,0.2155337631702423,0.06130264214328048,3.3003630340099335
PushT,4,0.95,3,4.336066722869873,0.6409375667572021,0.27503693103790283,0.06343005046192339,4.06102979183197
PushT,8,0.8,3,3.603961706161499,0.5581291913986206,0.26659584045410156,0.07397299477358958,3.3373658657073975
PushT,8,0.9,3,4.191955089569092,0.7543742656707764,0.3588097393512726,0.08559484338086172,3.833145350217819
PushT,8,0.95,3,4.877453327178955,0.7907407283782959,0.4298017919063568,0.08812012398178039,4.447651535272598
Reacher,1,0.8,3,3.0265297889709473,0.31644195318222046,0.07922724634408951,0.0261775868299078,2.9473025426268578
Reacher,1,0.9,3,5.31527042388916,0.5267674326896667,0.13104286789894104,0.02465403590943874,5.184227555990219
Reacher,1,0.95,3,7.437165260314941,0.6631156206130981,0.19259728491306305,0.025896598794270594,7.244567975401878
Reacher,2,0.8,3,2.3268215656280518,0.24781470000743866,0.06579655408859253,0.028277438657326882,2.2610250115394592
Reacher,2,0.9,3,2.454796314239502,0.2851923108100891,0.07245981693267822,0.029517649392074446,2.3823364973068237
Reacher,2,0.95,3,2.7806429862976074,0.31895872950553894,0.08380649983882904,0.030139252054941574,2.6968364864587784
Reacher,4,0.8,3,2.4481937885284424,0.2086937427520752,0.06448004394769669,0.02633780228094373,2.3837137445807457
Reacher,4,0.9,3,2.690399646759033,0.23920026421546936,0.07192541658878326,0.026734101260914005,2.61847423017025
Reacher,4,0.95,3,2.909081220626831,0.26194119453430176,0.07331569492816925,0.02520235406571826,2.835765525698662
Reacher,8,0.8,3,2.3441789150238037,0.16926676034927368,0.04606121778488159,0.019649190379486828,2.298117697238922
Reacher,8,0.9,3,2.875213146209717,0.19427482783794403,0.06861504167318344,0.023864332202165956,2.8065981045365334
Reacher,8,0.95,3,3.1121456623077393,0.20684850215911865,0.07565032690763474,0.024308093230937654,3.0364953354001045
Cube,1,0.8,3,5.215756893157959,1.04753839969635,0.18359608948230743,0.03520027739850168,5.0321608036756516
Cube,1,0.9,3,6.908393859863281,1.5855416059494019,0.25419360399246216,0.036794891714163606,6.654200255870819
Cube,1,0.95,3,8.306309700012207,1.9445829391479492,0.3136064410209656,0.037755206866474614,7.9927032589912415
Cube,2,0.8,3,3.504192352294922,0.7331107258796692,0.11290746182203293,0.032220680393897035,3.391284890472889
Cube,2,0.9,3,4.115216255187988,1.054918885231018,0.14279180765151978,0.034698494270259644,3.9724244475364685
Cube,2,0.95,3,4.705812931060791,1.3487868309020996,0.1647077053785324,0.03500090373150549,4.541105225682259
Cube,4,0.8,3,2.3941290378570557,0.714259922504425,0.08615275472402573,0.035985008895401724,2.30797628313303
Cube,4,0.9,3,2.7054855823516846,0.7748258113861084,0.09856903553009033,0.03643302931387694,2.6069165468215942
Cube,4,0.95,3,2.9666285514831543,0.8283952474594116,0.10283790528774261,0.03466490782485364,2.8637906461954117
Cube,8,0.8,3,2.273015260696411,0.5713586211204529,0.06892039626836777,0.030321132224713613,2.2040948644280434
Cube,8,0.9,3,2.4933700561523438,0.6773194074630737,0.09557366371154785,0.03833111875059285,2.397796392440796
Cube,8,0.95,3,2.6551218032836914,0.8133268356323242,0.09885092079639435,0.03723027722274044,2.556270882487297
