ir_quantile,base_ir_median,base_minus_endpoint,endpoint_ir_median,endpoint_to_base_ratio,horizon,n_training_seeds,onset_ir_median,task
0.8,1.6187810897827148,1.545758232474327,0.07302285730838776,0.04510977906110174,1,3,0.9745567440986633,TwoRoom
0.9,2.3208446502685547,2.201355218887329,0.11948943138122559,0.05148532081516053,1,3,1.2163264751434326,TwoRoom
0.95,2.874302864074707,2.7323311120271683,0.14197175204753876,0.04939345600006636,1,3,1.4192521572113037,TwoRoom
0.8,1.4029978513717651,1.3336728885769844,0.06932496279478073,0.04941202349454708,2,3,0.6760426163673401,TwoRoom
0.9,2.0074586868286133,1.9201297983527184,0.08732888847589493,0.04350220955922,2,3,0.8209947943687439,TwoRoom
0.95,2.1783668994903564,2.085518352687359,0.09284854680299759,0.042623006631582645,2,3,1.0724854469299316,TwoRoom
0.8,1.4754709005355835,1.396926186978817,0.07854471355676651,0.05323365816855855,4,3,0.7999744415283203,TwoRoom
0.9,1.903300404548645,1.8056100606918335,0.09769034385681152,0.05132681295256601,4,3,1.0453689098358154,TwoRoom
0.95,2.042114734649658,1.9429728761315346,0.09914185851812363,0.04854862306996293,4,3,1.1084650754928589,TwoRoom
0.8,1.555413007736206,1.465725488960743,0.0896875187754631,0.0576615460520013,8,3,0.6207680106163025,TwoRoom
0.9,1.6870437860488892,1.590448059141636,0.09659572690725327,0.05725739172039131,8,3,0.9004882574081421,TwoRoom
0.95,1.7766878604888916,1.6740689501166344,0.10261891037225723,0.057758547606679526,8,3,1.1199634075164795,TwoRoom
0.8,3.1947827339172363,3.0248903036117554,0.16989243030548096,0.053178085790256485,1,3,0.4463360011577606,PushT
0.9,3.3627076148986816,3.1490913927555084,0.21361622214317322,0.06352506569311393,1,3,0.6287347674369812,PushT
0.95,5.244382858276367,4.945395350456238,0.2989875078201294,0.05701099936826417,1,3,0.6856430172920227,PushT
0.8,2.685710906982422,2.5361799895763397,0.14953091740608215,0.05567647546030569,2,3,0.3551430404186249,PushT
0.9,3.0075159072875977,2.7953238487243652,0.21219205856323242,0.07055392726238414,2,3,0.5202054381370544,PushT
0.95,4.786663055419922,4.449161618947983,0.3375014364719391,0.07050870983905738,2,3,0.6928703784942627,PushT
0.8,2.96992826461792,2.818809077143669,0.1511191874742508,0.05088311030087867,4,3,0.4344409108161926,PushT
0.9,3.515896797180176,3.3003630340099335,0.2155337631702423,0.06130264214328048,4,3,0.5208411812782288,PushT
0.95,4.336066722869873,4.06102979183197,0.27503693103790283,0.06343005046192339,4,3,0.6409375667572021,PushT
0.8,3.603961706161499,3.3373658657073975,0.26659584045410156,0.07397299477358958,8,3,0.5581291913986206,PushT
0.9,4.191955089569092,3.833145350217819,0.3588097393512726,0.08559484338086172,8,3,0.7543742656707764,PushT
0.95,4.877453327178955,4.447651535272598,0.4298017919063568,0.08812012398178039,8,3,0.7907407283782959,PushT
0.8,3.0265297889709473,2.9473025426268578,0.07922724634408951,0.0261775868299078,1,3,0.31644195318222046,Reacher
0.9,5.31527042388916,5.184227555990219,0.13104286789894104,0.02465403590943874,1,3,0.5267674326896667,Reacher
0.95,7.437165260314941,7.244567975401878,0.19259728491306305,0.025896598794270594,1,3,0.6631156206130981,Reacher
0.8,2.3268215656280518,2.2610250115394592,0.06579655408859253,0.028277438657326882,2,3,0.24781470000743866,Reacher
0.9,2.454796314239502,2.3823364973068237,0.07245981693267822,0.029517649392074446,2,3,0.2851923108100891,Reacher
0.95,2.7806429862976074,2.6968364864587784,0.08380649983882904,0.030139252054941574,2,3,0.31895872950553894,Reacher
0.8,2.4481937885284424,2.3837137445807457,0.06448004394769669,0.02633780228094373,4,3,0.2086937427520752,Reacher
0.9,2.690399646759033,2.61847423017025,0.07192541658878326,0.026734101260914005,4,3,0.23920026421546936,Reacher
0.95,2.909081220626831,2.835765525698662,0.07331569492816925,0.02520235406571826,4,3,0.26194119453430176,Reacher
0.8,2.3441789150238037,2.298117697238922,0.04606121778488159,0.019649190379486828,8,3,0.16926676034927368,Reacher
0.9,2.875213146209717,2.8065981045365334,0.06861504167318344,0.023864332202165956,8,3,0.19427482783794403,Reacher
0.95,3.1121456623077393,3.0364953354001045,0.07565032690763474,0.024308093230937654,8,3,0.20684850215911865,Reacher
0.8,5.215756893157959,5.0321608036756516,0.18359608948230743,0.03520027739850168,1,3,1.04753839969635,Cube
0.9,6.908393859863281,6.654200255870819,0.25419360399246216,0.036794891714163606,1,3,1.5855416059494019,Cube
0.95,8.306309700012207,7.9927032589912415,0.3136064410209656,0.037755206866474614,1,3,1.9445829391479492,Cube
0.8,3.504192352294922,3.391284890472889,0.11290746182203293,0.032220680393897035,2,3,0.7331107258796692,Cube
0.9,4.115216255187988,3.9724244475364685,0.14279180765151978,0.034698494270259644,2,3,1.054918885231018,Cube
0.95,4.705812931060791,4.541105225682259,0.1647077053785324,0.03500090373150549,2,3,1.3487868309020996,Cube
0.8,2.3941290378570557,2.30797628313303,0.08615275472402573,0.035985008895401724,4,3,0.714259922504425,Cube
0.9,2.7054855823516846,2.6069165468215942,0.09856903553009033,0.03643302931387694,4,3,0.7748258113861084,Cube
0.95,2.9666285514831543,2.8637906461954117,0.10283790528774261,0.03466490782485364,4,3,0.8283952474594116,Cube
0.8,2.273015260696411,2.2040948644280434,0.06892039626836777,0.030321132224713613,8,3,0.5713586211204529,Cube
0.9,2.4933700561523438,2.397796392440796,0.09557366371154785,0.03833111875059285,8,3,0.6773194074630737,Cube
0.95,2.6551218032836914,2.556270882487297,0.09885092079639435,0.03723027722274044,8,3,0.8133268356323242,Cube
