task,checkpoint_type,n_training_seeds,n_sequences,hutchinson_probes,encoder_trace_per_pixel_dim_median,encoder_trace_per_pixel_dim_vs_base,rollout_trace_per_latent_dim_median,rollout_trace_per_latent_dim_vs_base,composed_trace_per_pixel_dim_median,composed_trace_per_pixel_dim_vs_base,kappa_submultiplicative_median,kappa_submultiplicative_vs_base,kappa_relative_isotropic_median,kappa_relative_isotropic_vs_base,alignment_coefficient_median,alignment_coefficient_vs_base
TwoRoom,base,3,16,8,0.01811050246902604,1.0,0.07392853995164235,1.0,0.004202640685094457,1.0,0.0003405941352034501,1.0,3.138915550034996,1.0,3.138915550034996,1.0
TwoRoom,onset,3,16,8,0.0031955932138187813,0.176449726852368,0.06536266373263465,0.8841330259651989,0.0007066154628654186,0.16813606392085287,0.0003678864373832766,1.0801314507765196,3.3904414069242774,1.0801314507765196,3.3904414069242774,1.0801314507765196
TwoRoom,endpoint,3,16,8,7.24281029154857e-05,0.00399923210520292,0.09284955263137817,1.2559365123687323,1.3600218652530052e-05,0.0032361126424074434,0.00021944035590850167,0.6442869480926952,2.0223623200527516,0.6442869480926953,2.0223623200527516,0.6442869480926953
PushT,base,3,16,8,0.0015918426975911977,1.0,0.18673805230193669,1.0,0.001423922889019086,1.0,0.0005343824365145835,1.0,4.924868534918401,1.0,4.924868534918401,1.0
PushT,onset,3,16,8,8.89147990837254e-05,0.05585652352350689,0.18163414796193442,0.9726681076669378,4.163939561779334e-05,0.02924273213030373,0.0002797630787640256,0.5235259612735995,2.57829653388926,0.5235259612735995,2.57829653388926,0.5235259612735995
PushT,endpoint,3,16,8,2.724467723919691e-05,0.017115181845809263,0.1857596735159556,0.9947606887084848,1.418394923036973e-05,0.009961177911916837,0.00033831207625272517,0.6330898119693208,3.117884094745115,0.6330898119693208,3.117884094745115,0.6330898119693208
Reacher,base,3,16,8,0.006041025764006876,1.0,0.02469931108256181,1.0,0.0003352318605294033,1.0,0.00023573483657644666,1.0,2.1725322538885323,1.0,2.1725322538885323,1.0
Reacher,onset,3,16,8,7.626063416367756e-05,0.012623788929695874,0.02271673580010732,0.9197315554337778,5.2331796849395685e-06,0.01561062745251973,0.0003277757661252712,1.3904426298867225,3.0207814606104995,1.3904426298867225,3.0207814606104995,1.3904426298867225
Reacher,endpoint,3,16,8,1.9782924203121878e-05,0.0032747624287568526,0.021919411917527516,0.887450335932772,1.850025190485012e-06,0.005518643686084681,0.00040987972009246936,1.7387320688155867,3.7774515003721976,1.7387320688155867,3.7774515003721976,1.7387320688155867
Cube,base,3,16,8,0.0016499862345167838,1.0,0.03663426720433765,1.0,0.0002604082644898064,1.0,0.00046422214318148026,1.0,4.278271271560522,1.0,4.278271271560522,1.0
Cube,onset,3,16,8,0.00011372004789796546,0.06892181614549626,0.04010965137018098,1.0948670310902746,1.9964253341952282e-05,0.07666520638684943,0.00046976314065566647,1.0119360904161352,4.329337104282622,1.0119360904161352,4.329337104282622,1.0119360904161352
Cube,endpoint,3,16,8,3.718369420778319e-05,0.022535760256613798,0.039523125936587654,1.0788567358570762,7.3147539441133775e-06,0.028089561437093756,0.0004836045657776264,1.0417524732088639,4.456899678206605,1.0417524732088639,4.456899678206605,1.0417524732088639
