task,checkpoint_type,n_training_seeds,smallest_sigma,smallest_sigma_measured_to_jvp_ratio_median,all_sigma_measured_to_jvp_ratio_median,all_sigma_relative_error_mean,remainder_loglog_order_median_descriptive,jvp_gaussian_trace_per_sequence_median,jvp_trace_vs_base
TwoRoom,base,3,0.0025,0.941673738285445,0.9479113849776382,0.3517497713020749,2.4305016177951018,44696.651123046875,1.0
TwoRoom,onset,3,0.0025,0.8974814290370764,0.9101501626171488,0.10547727365169847,1.8406951753430576,6147.2606201171875,0.1375329127722386
TwoRoom,endpoint,3,0.0025,1.9272778531223744,1.035307725790119,0.45762099154960767,1.0923015494566022,121.13218402862549,0.0027100952976355373
PushT,base,3,0.0025,0.8532709309945996,0.8372822856406994,0.2976720961475648,1.7185633185814262,14015.100402832031,1.0
PushT,onset,3,0.0025,1.211581365326765,1.115722469300873,0.16183412529312044,1.7832448175607274,358.354549407959,0.02556917461223084
PushT,endpoint,3,0.0025,1.222106093568337,0.8976525568195868,0.13423197067587295,2.3241367027523,121.90359592437744,0.00869801802488296
Reacher,base,3,0.0025,1.3456846658721286,3.0412096865561518,5.228152775134774,4.056809854667402,2644.8324432373047,1.0
Reacher,onset,3,0.0025,1.2164676425286578,1.0314155656865083,0.17293747220234612,1.8572885048316967,49.15258741378784,0.018584386144940252
Reacher,endpoint,3,0.0025,1.177183226765315,1.0756047675766154,0.16011740505780786,1.7698413950650815,17.19153642654419,0.006500047468225078
Cube,base,3,0.0025,1.2759946692978485,2.272896515438394,2.8946044267799764,3.617145089960376,2046.346694946289,1.0
Cube,onset,3,0.0025,1.0104091812058178,0.9774566949156476,0.03813077866642907,2.1404134842442413,184.6027431488037,0.09021088342689117
Cube,endpoint,3,0.0025,1.1593611498624334,1.0478599884791948,0.06963510279108974,1.6138585037724007,58.73527526855469,0.0287025045236024
