model_family,task,training_seed,checkpoint_type,std_key,subdir,run_path,model_file,model_search_dirs,clean_success,pixels_std0.08_success,atr_q90_source,recovery_label,status,sigma,n_sequences,num_noise_draws,measured_mean_R2,measured_R2_standard_error,empirical_mean_R2_over_sigma2,jvp_gaussian_trace_per_sequence,measured_to_jvp_ratio,relative_error,predicted_mean_R2,signed_remainder,absolute_remainder,absolute_remainder_over_sigma3
LeWM,Reacher,3074,base,0.00,reacher_lewm_baseline_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074/reacher_lewm_baseline_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074'],58.333333,18.666667,2.5791641540531067,false,ok,0.0025,16,8,0.025198858231306076,0.0027485102488675347,4031.817317008972,2601.352081298828,1.549892975269971,0.5498929752699709,0.016258450508117677,0.008940407723188399,0.008940407723188399,572186.0942840574
LeWM,Reacher,3074,base,0.00,reacher_lewm_baseline_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074/reacher_lewm_baseline_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074'],58.333333,18.666667,2.5791641540531067,false,ok,0.005,16,8,0.13486090302467346,0.013990160357344381,5394.4361209869385,2601.352081298828,2.073704732153578,1.0737047321535778,0.06503380203247071,0.06982710099220275,0.06982710099220275,558616.807937622
LeWM,Reacher,3074,base,0.00,reacher_lewm_baseline_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074/reacher_lewm_baseline_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074'],58.333333,18.666667,2.5791641540531067,false,ok,0.01,16,8,1.0428078174591064,0.0893223428847441,10428.078174591064,2601.352081298828,4.0087146409587255,3.008714640958725,0.26013520812988283,0.7826726093292236,0.7826726093292236,782672.6093292234
LeWM,Reacher,3074,base,0.00,reacher_lewm_baseline_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074/reacher_lewm_baseline_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_baseline_seed3074'],58.333333,18.666667,2.5791641540531067,false,ok,0.02,16,8,14.587718963623047,1.532397371695099,36469.29740905762,2601.352081298828,14.019362342850904,13.019362342850904,1.0405408325195313,13.547178131103516,13.547178131103516,1693397.2663879392
LeWM,Reacher,3074,onset,0.03,reacher_lewm_noise_0to003_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074/reacher_lewm_noise_0to003_p1_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074'],80.0,80.666667,0.28342804287613466,true,ok,0.0025,16,8,0.0003100987523794174,2.0554910490792573e-05,49.61580038070679,49.15258741378784,1.0094239793120028,0.009423979312002789,0.000307203671336174,2.895081043243397e-06,2.895081043243397e-06,185.2851867675774
LeWM,Reacher,3074,onset,0.03,reacher_lewm_noise_0to003_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074/reacher_lewm_noise_0to003_p1_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074'],80.0,80.666667,0.28342804287613466,true,ok,0.005,16,8,0.0011901464313268661,8.006231189356654e-05,47.605857253074646,49.15258741378784,0.9685320703935247,0.03146792960647522,0.001228814685344696,-3.866825401782994e-05,3.866825401782994e-05,309.34603214263944
LeWM,Reacher,3074,onset,0.03,reacher_lewm_noise_0to003_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074/reacher_lewm_noise_0to003_p1_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074'],80.0,80.666667,0.28342804287613466,true,ok,0.01,16,8,0.004697827156633139,0.0003169286397903426,46.97827156633139,49.15258741378784,0.9557639595012136,0.04423604049878635,0.004915258741378784,-0.0002174315847456457,0.0002174315847456457,217.43158474564567
LeWM,Reacher,3074,onset,0.03,reacher_lewm_noise_0to003_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074/reacher_lewm_noise_0to003_p1_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to003_p1_seed3074'],80.0,80.666667,0.28342804287613466,true,ok,0.02,16,8,0.019035877659916878,0.0012905026686794775,47.589694149792194,49.15258741378784,0.9682032351453133,0.03179676485468675,0.019661034965515137,-0.0006251573055982597,0.0006251573055982597,78.14466319978244
LeWM,Reacher,3074,endpoint,0.08,reacher_lewm_noise_0to008_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to008_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to008_p1_seed3074/reacher_lewm_noise_0to008_p1_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to008_p1_seed3074'],78.333333,80.333333,0.07801434049559372,true,ok,0.0025,16,8,0.00012648492702282965,9.663679544868842e-06,20.237588323652744,17.19153642654419,1.177183226765315,0.17718322676531514,0.00010744710266590119,1.9037824356928464e-05,1.9037824356928464e-05,1218.4207588434215
LeWM,Reacher,3074,endpoint,0.08,reacher_lewm_noise_0to008_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to008_p1_seed3074,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to008_p1_seed3074/reacher_lewm_noise_0to008_p1_seed3074_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-reacher/ckpt/reacher_lewm_noise_0to008_p1_seed3074'],78.333333,80.333333,0.07801434049559372,true,ok,0.005,16,8,0.00046546608791686594,3.779705142077034e-05,18.618643516674638,17.19153642654419,1.0830121901104173,0.08301219011041719,0.00042978841066360475,3.5677677253261194e-05,3.5677677253261194e-05,285.4214180260895
