horizon,atr_quantile,atr_horizon_v2,raw_horizon_radius_quantile,clean_transition_scale_q50,radius_metric,noise_draw_aggregation,model_family,task,training_seed,checkpoint_type,std_key,subdir,run_path,model_file,model_search_dirs,clean_success,pixels_std0.08_success,atr_q90_source,recovery_label,status,stress_sigma,n_sequences,num_noise_draws
1,0.8,1.6187810897827148,16.108163833618164,15.236787796020508,horizon_weighted_stacked_l2_v2,per_anchor_mean_then_checkpoint_quantile,LeWM,TwoRoom,3073,base,0.00,tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073/tworoom_lewm_baseline_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073'],94.333333,71.666667,1.5172889279112693,false,ok,0.08,16,5
1,0.9,2.3208446502685547,16.525001525878906,15.236787796020508,horizon_weighted_stacked_l2_v2,per_anchor_mean_then_checkpoint_quantile,LeWM,TwoRoom,3073,base,0.00,tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073/tworoom_lewm_baseline_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073'],94.333333,71.666667,1.5172889279112693,false,ok,0.08,16,5
1,0.95,2.874302864074707,16.721437454223633,15.236787796020508,horizon_weighted_stacked_l2_v2,per_anchor_mean_then_checkpoint_quantile,LeWM,TwoRoom,3073,base,0.00,tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073/tworoom_lewm_baseline_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073'],94.333333,71.666667,1.5172889279112693,false,ok,0.08,16,5
2,0.8,1.4029978513717651,17.188085556030273,14.601216316223145,horizon_weighted_stacked_l2_v2,per_anchor_mean_then_checkpoint_quantile,LeWM,TwoRoom,3073,base,0.00,tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073/tworoom_lewm_baseline_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073'],94.333333,71.666667,1.5172889279112693,false,ok,0.08,16,5
2,0.9,2.0380361080169678,17.82746124267578,14.601216316223145,horizon_weighted_stacked_l2_v2,per_anchor_mean_then_checkpoint_quantile,LeWM,TwoRoom,3073,base,0.00,tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073/tworoom_lewm_baseline_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073'],94.333333,71.666667,1.5172889279112693,false,ok,0.08,16,5
2,0.95,2.4378867149353027,18.300886154174805,14.601216316223145,horizon_weighted_stacked_l2_v2,per_anchor_mean_then_checkpoint_quantile,LeWM,TwoRoom,3073,base,0.00,tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073/tworoom_lewm_baseline_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073'],94.333333,71.666667,1.5172889279112693,false,ok,0.08,16,5
4,0.8,1.4754709005355835,18.41021156311035,13.970792770385742,horizon_weighted_stacked_l2_v2,per_anchor_mean_then_checkpoint_quantile,LeWM,TwoRoom,3073,base,0.00,tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073/tworoom_lewm_baseline_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073'],94.333333,71.666667,1.5172889279112693,false,ok,0.08,16,5
4,0.9,1.6841285228729248,19.067840576171875,13.970792770385742,horizon_weighted_stacked_l2_v2,per_anchor_mean_then_checkpoint_quantile,LeWM,TwoRoom,3073,base,0.00,tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073/tworoom_lewm_baseline_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073'],94.333333,71.666667,1.5172889279112693,false,ok,0.08,16,5
4,0.95,1.8626388311386108,19.4912052154541,13.970792770385742,horizon_weighted_stacked_l2_v2,per_anchor_mean_then_checkpoint_quantile,LeWM,TwoRoom,3073,base,0.00,tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073/tworoom_lewm_baseline_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073'],94.333333,71.666667,1.5172889279112693,false,ok,0.08,16,5
8,0.8,1.5612363815307617,19.56422996520996,13.736459732055664,horizon_weighted_stacked_l2_v2,per_anchor_mean_then_checkpoint_quantile,LeWM,TwoRoom,3073,base,0.00,tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073,/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073/tworoom_lewm_baseline_seed3073_epoch_10_object.ckpt,['/opt/workspace/explorer-env/dataset/ag_data/data/world_model/quentinll/lewm-tworooms/ckpt/tworoom_lewm_baseline_seed3073'],94.333333,71.666667,1.5172889279112693,false,ok,0.08,16,5
